Dataset,Field Name,Data Type,Description,Example Value,Valid Values / Range,Missing (%),Key / Join Role,Notes
Staff_Access (staff_access_investigation_linked.csv),Record_Accessed,String,Claim_ID of the record accessed during the logged event.,CLM005808,Pattern CLM + 6 digits or blank,2.6%,Join key -> Claims_KYC (Claim_ID),Blank rows indicate no logged access event for that agent.
Staff_Access (staff_access_investigation_linked.csv),Override_Activity,String (categorical),"Type of system override performed, if any, during the access event.",Bypassed secondary verification,"No override recorded, Approved above authority limit, Unscheduled record access, Bypassed secondary verification",0%,,
Staff_Access (staff_access_investigation_linked.csv),Investigation_Outcome,String (categorical),Outcome of any internal investigation into the staff member.,Unsubstantiated,"No findings, Unsubstantiated, Under investigation, Confirmed - insider risk",0%,,
Documents_OCR (document_metadata_ocr_text_linked.csv),document_id,String,Unique identifier for the uploaded document.,DOC-00001,Pattern DOC-00001,0%,Primary key,
Documents_OCR (document_metadata_ocr_text_linked.csv),Customer_ID,String,Customer associated with the document.,CUST017562,Pattern CUST + 6 digits,0%,"Join key -> Claims_KYC, Portal_Auth",
Documents_OCR (document_metadata_ocr_text_linked.csv),Claim_ID,String,Claim the document was uploaded in support of.,CLM025767,Pattern CLM + 6 digits,0%,Join key -> Claims_KYC (Claim_ID),
Documents_OCR (document_metadata_ocr_text_linked.csv),upload_time,Datetime (string),Date and time the document was uploaded.,2026-09-07 20:35:30,Timestamp,0%,,
Documents_OCR (document_metadata_ocr_text_linked.csv),file_type,String (categorical),File format of the uploaded document.,DOCX,"DOCX, PDF, PNG, JPG",0%,,
Documents_OCR (document_metadata_ocr_text_linked.csv),file_size_kb,Integer,File size in kilobytes.,172,"~ 100 - 4,500",0%,,
Documents_OCR (document_metadata_ocr_text_linked.csv),document_type,String (categorical),Category of document content.,id_document,"claim_form, id_document, investigation_note, kyc_update",0%,Target variable (NLP classifier),Classified with 100% accuracy - see documented limitation on synthetic OCR text below.
Documents_OCR (document_metadata_ocr_text_linked.csv),ocr_text,String (long text),Extracted OCR/text content of the document.,NATIONAL IDENTITY DOCUMENT. Full Name: Allison Hill...,"Free text, template-generated",0%,,Synthetically generated from fixed templates per document_type - not real scanned OCR (documented limitation in nlp_report.txt).
Documents_OCR (document_metadata_ocr_text_linked.csv),duplicate_group_id,String,ID grouping documents with near-identical/templated content.,DUPGRP-001,Pattern DUPGRP-### or blank,65.0%,,Blank = document is not part of a detected duplicate cluster.
Documents_OCR (document_metadata_ocr_text_linked.csv),linked_identity_change,Integer (binary),Whether this document's claim also had an identity/KYC change.,1,"0 = No, 1 = Yes",0%,,77 of 220 documents linked to an identity-changed claim.
Documents_OCR (document_metadata_ocr_text_linked.csv),document_similarity_score,Float,"Text-similarity score against other documents (0 = unique, 1 = identical).",0.687,0.0 - 1.0,0%,,Computed via text-similarity analysis in the NLP module.
Documents_OCR (document_metadata_ocr_text_linked.csv),document_similarity_flag,String (categorical),Banded version of document_similarity_score.,HIGH,"LOW, MEDIUM, HIGH",0%,,53 documents flagged HIGH similarity.
Portal_Auth (portal_authentication_device_data.csv),log_id,String,Unique identifier for the login event.,AUTH-000001,Pattern AUTH-000001,0%,Primary key,
Portal_Auth (portal_authentication_device_data.csv),Customer_ID,String,Customer who performed the login.,CUST000001,Pattern CUST + 6 digits,0%,"Join key -> Claims_KYC, Documents_OCR","18,409 unique customers across 42,597 events (avg. 2.3 logins/customer)."
Portal_Auth (portal_authentication_device_data.csv),login_time,Datetime (string),Date and time of the login attempt.,2026-08-30 13:14:08,Timestamp,0%,,
Portal_Auth (portal_authentication_device_data.csv),device_id,String,Identifier of the device used to log in.,DEV-D7E805DA,Pattern DEV-########,0%,,
Portal_Auth (portal_authentication_device_data.csv),new_device_flag,Integer (binary),Whether this device had not been seen for this customer before.,1,"0 = No, 1 = Yes",0%,Key UBA feature,Mean rate across customers ~22.4%.
Portal_Auth (portal_authentication_device_data.csv),ip_address,String,IP address of the login attempt.,149.138.195.222,IPv4 address,0%,,Synthetic; not a real customer IP.
Portal_Auth (portal_authentication_device_data.csv),location_city,String (categorical),City the login was geolocated to.,Katima Mulilo,Namibian city name,0%,,
Portal_Auth (portal_authentication_device_data.csv),location_unusual_flag,Integer (binary),Whether the login location is unusual for this customer's history.,0,"0 = No, 1 = Yes",0%,Key UBA feature,Mean rate ~17.5%.
Portal_Auth (portal_authentication_device_data.csv),network_type,String (categorical),Type of network the login originated from.,Public Wi-Fi,"Public Wi-Fi, Mobile Data, Home Wi-Fi, VPN",0%,,
Portal_Auth (portal_authentication_device_data.csv),authentication_result,String (categorical),Outcome of the authentication attempt.,Success,"Success, Failed then Success",0%,,
Portal_Auth (portal_authentication_device_data.csv),failed_attempts_before_success,Integer,Number of failed login attempts before this successful one.,0,0 - 4,0%,Key UBA feature,Mean ~0.41 across all events.
Portal_Auth (portal_authentication_device_data.csv),off_hours_login_flag,Integer (binary),Whether the login occurred outside standard business hours (22:00-06:00).,0,"0 = No, 1 = Yes",0%,,12.1% of all logins are off-hours.
