dataset_file,column,meaning,type,valid_values_or_range,example,missing_count,origin,handling_note
raw/insurance_fraud_data.csv,past_num_of_claims,Number of the driver's past claims.,integer,0 to 6,0,0,Source file (as supplied),
raw/insurance_fraud_data.csv,witness_present,1/0 whether a witness was present; contains '*' placeholders.,categorical,* | 0 | 1,0,0,Source file (as supplied),
raw/insurance_fraud_data.csv,liab_prct,Percentage of liability assigned to the driver (0-100).,integer,0 to 100,25,0,Source file (as supplied),
raw/insurance_fraud_data.csv,channel,"Channel the claim was lodged through (Broker, Phone, Online).",categorical,Broker | Online | Phone,Phone,0,Source file (as supplied),
raw/insurance_fraud_data.csv,police_report,1 if a police report was filed.,binary flag,"0, 1",0,0,Source file (as supplied),
raw/insurance_fraud_data.csv,age_of_vehicle,Vehicle age in years; contains '*' placeholders.,text,16 distinct values,8,0,Source file (as supplied),
raw/insurance_fraud_data.csv,vehicle_category,"Vehicle category (Compact, Large, Medium).",categorical,Compact | Large | Medium,Large,0,Source file (as supplied),
raw/insurance_fraud_data.csv,vehicle_price,Vehicle price.,float,2261.51 to 106992,24360.59273,0,Source file (as supplied),
raw/insurance_fraud_data.csv,vehicle_color,Vehicle colour.,categorical,black | blue | gray | other | red | silver | white,silver,0,Source file (as supplied),
raw/insurance_fraud_data.csv,total_claim,Total claim amount.,float,2583.43 to 101819,26633.27819,0,Source file (as supplied),
raw/insurance_fraud_data.csv,injury_claim,Injury portion of the claim; contains '*' placeholders.,text,"11,989 distinct values",5196.552552,0,Source file (as supplied),
raw/insurance_fraud_data.csv,policy deductible,Policy deductible amount.,integer,500 to 2000,1000,0,Source file (as supplied),
raw/insurance_fraud_data.csv,annual premium,Annual premium.,float,433.33 to 2047.59,1406.91,0,Source file (as supplied),
raw/insurance_fraud_data.csv,days open,Days the claim remained open.,float,2.30331 to 15.1772,8.641800488,0,Source file (as supplied),
raw/insurance_fraud_data.csv,form defects,Number of defects in the claim form.,integer,0 to 13,5,0,Source file (as supplied),
raw/insurance_fraud_data.csv,fraud reported,Label in the auto-fraud dataset: Y/N (8 rows missing).,categorical,N | Y,N,8,Source file (as supplied),
raw/portal_authentication_device_data.csv,log_id,Unique portal log event identifier (AUTH-nnnnnn).,identifier,"42,597 distinct values",AUTH-000001,0,Generated by group script,Fully synthetic. Generated FROM the claims table with fraud/identity-change-dependent behaviour.
raw/portal_authentication_device_data.csv,Customer_ID,"Identifier of the policyholder/claimant (e.g. CUST018311). One customer can have several claims and portal logins; join key to portal, document and anomaly tables.",identifier,"18,409 distinct values",CUST000001,0,Generated by group script,
raw/portal_authentication_device_data.csv,login_time,Timestamp of the portal login event.,datetime,2026-03-23 00:50:33 to 2026-09-19 23:51:51,2026-08-30 13:14:08,0,Generated by group script,
raw/portal_authentication_device_data.csv,device_id,Identifier of the device used to log in (DEV-xxxxxxxx).,identifier,"30,620 distinct values",DEV-D7E805DA,0,Generated by group script,
raw/portal_authentication_device_data.csv,new_device_flag,1 if the device had not been seen for this customer before.,binary flag,"0, 1",0,0,Generated by group script,
raw/portal_authentication_device_data.csv,ip_address,IP address of the login (synthetic).,text,"42,597 distinct values",149.138.195.222,0,Generated by group script,
raw/portal_authentication_device_data.csv,location_city,City the login came from.,categorical,Gobabis | Henties Bay | Karasburg | Katima Mulilo | Keetmanshoop | Luderitz | Ondangwa | Oshakati | ...,Katima Mulilo,0,Generated by group script,
raw/portal_authentication_device_data.csv,location_unusual_flag,1 if the login location differs from the customer's established home region.,binary flag,"0, 1",0,0,Generated by group script,
raw/portal_authentication_device_data.csv,network_type,"Network used: Home Wi-Fi, Mobile Data, Public Wi-Fi or VPN.",categorical,Home Wi-Fi | Mobile Data | Public Wi-Fi | VPN,Public Wi-Fi,0,Generated by group script,
raw/portal_authentication_device_data.csv,authentication_result,'Success' or 'Failed then Success'.,categorical,Failed then Success | Success,Success,0,Generated by group script,
raw/portal_authentication_device_data.csv,failed_attempts_before_success,Number of failed attempts (0-4) before the successful login.,integer,0 to 4,0,0,Generated by group script,
raw/portal_authentication_device_data.csv,off_hours_login_flag,1 if the login was between 22:00 and 06:00.,binary flag,"0, 1",0,0,Generated by group script,
raw/document_metadata_ocr_text.csv,document_id,Unique document identifier (DOC-nnnnn).,identifier,220 distinct values,DOC-00179,0,Generated by group script,Fully synthetic template-generated OCR text. Superseded by the processed/linked version.
raw/document_metadata_ocr_text.csv,claimant_id,Pseudo-identifier (CLM-nnnnn) used in the raw document file. Superseded by Customer_ID and Claim_ID in the linked file.,identifier,109 distinct values,CLM-00124,0,Generated by group script,
raw/document_metadata_ocr_text.csv,upload_time,Timestamp the document was uploaded.,datetime,2025-09-19 21:26:58 to 2026-09-16 21:26:58,2025-12-08 21:26:58,0,Generated by group script,
raw/document_metadata_ocr_text.csv,file_type,"File format: PDF, JPG, PNG or DOCX.",categorical,DOCX | JPG | PDF | PNG,DOCX,0,Generated by group script,
raw/document_metadata_ocr_text.csv,file_size_kb,File size in kilobytes.,integer,101 to 4492,3484,0,Generated by group script,
raw/document_metadata_ocr_text.csv,document_type,"Type of document in the raw file (claim_form, id_document, kyc_update, medical_report, bank_statement, investigation_note).",categorical,bank_statement | claim_form | id_document | investigation_note | kyc_update | medical_report,id_document,0,Generated by group script,
raw/document_metadata_ocr_text.csv,ocr_text,OCR-style extracted text of the document. TEMPLATE-GENERATED and contains synthetic names and ID-number-style strings - not real personal data.,free text,"text, 142-440 characters",NATIONAL IDENTITY DOCUMENT. Full Name: Michelle Harmon. ID Number: ...,0,Generated by group script,
raw/document_metadata_ocr_text.csv,duplicate_group_id,Identifier of a group of near-identical documents (DUPGRP-nnn); blank if the document is not in a group.,identifier,16 distinct values,DUPGRP-012,181,Generated by group script,
raw/document_metadata_ocr_text.csv,document_similarity_score,0-1 similarity of the document to its peers (difflib ratio; highest match within its duplicate group or against same-type peers).,float,0 to 1,0.673,0,Generated by group script,
raw/document_metadata_ocr_text.csv,document_similarity_flag,"LOW / MEDIUM / HIGH: HIGH when similarity >= 0.90, MEDIUM when >= 0.70.",categorical,HIGH | LOW | MEDIUM,LOW,0,Generated by group script,
processed/claims_identity_kyc_linked.csv,Claim_ID,Unique identifier of the insurance claim (e.g. CLM000001). Primary key of the claims table.,identifier,"50,000 distinct values",CLM000001,0,Carried from insurance_claims_dataset.csv,"Analysis table. Identity/KYC and enrichment fields are synthetic linkage, not observed facts."
processed/claims_identity_kyc_linked.csv,Customer_ID,"Identifier of the policyholder/claimant (e.g. CUST018311). One customer can have several claims and portal logins; join key to portal, document and anomaly tables.",identifier,"18,409 distinct values",CUST018311,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Policy_Number,Identifier of the underlying insurance policy (e.g. POL0285346).,identifier,"48,684 distinct values",POL0285346,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Age,Policyholder age in years at time of claim.,integer,18 to 79,79,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Gender,Policyholder gender as recorded in the source (Male/Female). Not used to make decisions; retained as a model input only.,categorical,Female | Male,Male,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Region,Geographic region of the policyholder (North/South/East/West).,categorical,East | North | South | West,West,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Policy_Type,Line of insurance the policy covers (Auto/Home/Health/Life).,categorical,Auto | Health | Home | Life,Home,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Premium_Amount,Annual premium paid by the policyholder (source currency units).,float,200.05 to 4999.86,3264.23,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Coverage_Amount,Total coverage limit of the policy.,float,5001.71 to 99996.5,56380.37,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Claim_Amount,Amount requested in the claim. Reported in N$ in the project outputs.,float,501.24 to 49999.8,8140.64,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Claim_Type,Category of the claim event (Accident/Theft/Property/Medical).,categorical,Accident | Medical | Property | Theft,Accident,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Credit_Score,Policyholder credit score (approx. 300-849).,integer,300 to 849,529,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Fraud_Risk_Score,Engineered 0-100 risk score supplied with the source data. Fraud_Flag = Yes when the score is greater than 75. Treated as a label proxy and EXCLUDED from model features.,float,0 to 100,91.93,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Fraud_Flag,"Fraud label used as the supervised target (Yes/No). Derived in the source data from Fraud_Risk_Score > 75; it is a risk flag, not a legal finding of fraud.",categorical,No | Yes,Yes,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Claim_Status,"Adjudication status (Approved/Rejected/Under Review). 'Under Review' corresponds exactly to Fraud_Flag = Yes, so it is a label proxy and is excluded from model features.",categorical,Approved | Rejected | Under Review,Under Review,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Settlement_Amount,Amount actually settled/paid on the claim.,float,259.94 to 49893.7,4330.86,0,Carried from insurance_claims_dataset.csv,
processed/claims_identity_kyc_linked.csv,Claim_Date,Date the claim was submitted. GENERATED by link_and_engineer_sources.py (the source file has no claim dates).,datetime,2024-09-17 20:35:26.262291 to 2026-09-17 20:35:26.382625,2026-07-03 20:35:26.261770,0,Derived by group script,
processed/claims_identity_kyc_linked.csv,Handled_By_Staff_ID,Staff_ID of the agent assigned to the claim. GENERATED by a weighted random assignment (some agents handle many more claims than others). Join key to the staff table.,identifier,"1,169 distinct values",AGENT00933,0,Derived by group script,
processed/claims_identity_kyc_linked.csv,Identity_Changed_Flag,"1 if the customer had an identity/KYC change before this claim, else 0. GENERATED with a fraud-dependent probability (about 0.42 for fraud claims vs 0.10 otherwise) - a planted signal, not an observed one.",binary flag,"0, 1",0,0,Derived by group script,
processed/claims_identity_kyc_linked.csv,KYC_Update_Date,Date of the identity/KYC change. Blank when Identity_Changed_Flag = 0. GENERATED 0-21 days before Claim_Date.,datetime,2024-08-28 20:35:26.320541 to 2026-09-17 20:35:26.320557,2024-12-19 20:35:26.261821,41034,Derived by group script,
processed/claims_identity_kyc_linked.csv,Days_KYC_To_Claim,Days between the KYC update and the claim (0-21). Blank when there was no identity change. The 21-day maximum is a generator setting.,integer,0 to 21,21.0,41034,Derived by group script,
processed/claims_identity_kyc_linked.csv,Enriched_Address_Change_Flag,1 if the auto-fraud record indicated an address change (from insurance_fraud_data.address_change). Matched to claims conditionally on Fraud_Flag - not a true per-claim join.,binary flag,"0, 1",0,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Past_Claims_Count,"Number of past claims (from insurance_fraud_data.past_num_of_claims). Conditional match, not a true join.",integer,0 to 6,1,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Witness_Present,"Whether a witness was present: 1/0, or '*' where the source recorded a placeholder (340 rows; imputed with the mode during modelling). Conditional match, not a true join.",categorical,* | 0 | 1,0,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Police_Report_Filed,"1 if a police report was filed (from insurance_fraud_data.police_report). Conditional match, not a true join.",binary flag,"0, 1",1,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Safety_Rating,"Driver safety rating 0-100 (from insurance_fraud_data.safety_rating). Conditional match, not a true join.",integer,2 to 100,56,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Days_Open,"Days the claim stayed open (from insurance_fraud_data.days open). Conditional match, not a true join.",float,2.30331 to 15.1772,8.409042055,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Form_Defects_Count,"Number of defects found in the claim form (from insurance_fraud_data.form defects). Conditional match, not a true join.",integer,0 to 13,3,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/claims_identity_kyc_linked.csv,Enriched_Claim_Channel,"Channel through which the claim was lodged: Broker, Phone or Online (from insurance_fraud_data.channel). Conditional match, not a true join.",categorical,Broker | Online | Phone,Phone,0,Derived from insurance_fraud_data.csv (conditional match on Fraud_Flag),
processed/staff_access_investigation_linked.csv,Staff_ID,Unique agent identifier (from AGENT_ID). Primary key of the staff table; joins to claims via Handled_By_Staff_ID.,identifier,"1,200 distinct values",AGENT00001,0,Carried from employee_data.csv,One row per agent. Behavioural profile attached by a probabilistic rule; access/override fields generated.
processed/staff_access_investigation_linked.csv,Staff_Name,Agent full name (synthetic). Keep out of shared outputs; use Staff_ID.,text,"1,198 distinct values",Ray Johns,0,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,DATE_OF_JOINING,Date the agent joined the organisation.,date,1990-06-25 to 2018-06-24,1993-06-05,0,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,ADDRESS_LINE1,"Agent home address, line 1 (synthetic).",text,"1,002 distinct values",1402 Maggies Way,0,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,ADDRESS_LINE2,"Agent home address, line 2 (synthetic); mostly blank.",text,114 distinct values,#306,1021,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,CITY,Agent home city (synthetic).,text,203 distinct values,Waterbury Center,7,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,STATE,Agent home state code (synthetic; US-style values in the source).,text,16 distinct values,VT,0,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,POSTAL_CODE,Agent home postal/ZIP code (synthetic).,integer,1007 to 99577,5677,0,Carried from employee_data.csv,
processed/staff_access_investigation_linked.csv,claims_handled,Number of claims assigned to this agent (computed from claims).,integer,0 to 341,28.0,0,Derived by group script,
processed/staff_access_investigation_linked.csv,fraud_claims_handled,Number of those claims with Fraud_Flag = Yes (computed).,integer,0 to 80,8.0,0,Derived by group script,
processed/staff_access_investigation_linked.csv,fraud_rate_handled,fraud_claims_handled / claims_handled (computed).,float,0 to 1,0.2857142857142857,0,Derived by group script,
processed/staff_access_investigation_linked.csv,employee_department,Department of the employee in the behavioural record.,categorical,Engineering Department | Executive Management | Finance | Human Resources | Information Technology | Legal and Regulation | Marketing and Business Development | Operations and Manufacturing | ...,Engineering Department,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,employee_campus,Campus/site the employee is based at (Campus A-C).,categorical,Campus A | Campus B | Campus C,Campus B,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,employee_position,Job title of the employee.,text,46 distinct values,Head of Engineering,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,employee_seniority_years,Years of service (0-31).,integer,0 to 31,8,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,is_contractor,"1 if the person is a contractor, 0 if an employee.",binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,employee_classification,Ordinal classification level 1-4 (the source does not document what the levels mean).,integer,1 to 4,2,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,has_foreign_citizenship,1 if the record indicates foreign citizenship. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,has_criminal_record,1 if the record indicates a criminal record. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,has_medical_history,1 if the record indicates a medical history. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,employee_origin_country,Country of origin of the employee. SENSITIVE PERSONAL ATTRIBUTE - discrimination risk; not used as a model feature in this project.,text,31 distinct values,Israel,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,total_printed_pages,Total pages printed in the observation period (data-leakage indicator).,integer,0 to 339,1,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,num_printed_pages_off_hours,Pages printed outside working hours (data-leakage indicator).,integer,0 to 105,0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,total_files_burned,Number of files written to disc/removable media (data-leakage indicator).,integer,0 to 158,34,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,burned_from_other,1 if files were burned from another person's/other resource (data-leakage indicator).,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,is_abroad,1 if the employee was travelling abroad.,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,trip_day_number,Day number of the trip abroad (0 when not travelling).,integer,0 to 14,0.0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,hostility_country_level,Ordinal 0-3 level of the destination country's assessed hostility (scale not documented in the source).,integer,0 to 3,0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
